dataset,rt60_level,algorithm,mean_error_m,min_error_m,max_error_m,mean_angle_err_deg,mean_rt60_measured_s,mean_elapsed_s,n
esc50,high,CSSM,1.9284,1.0772,2.4795,99.1624,0.1259,11.5343,3
esc50,high,MUSIC,1.5953,0.5579,2.9454,110.1007,0.1259,0.7235,3
esc50,high,SRP,1.1055,0.0685,2.2854,57.3686,0.1259,1.2381,3
esc50,high,TOPS,1.142,0.489,2.1794,40.0748,0.1259,5.6392,3
esc50,high,WAVES,1.5296,0.2599,3.32,67.892,0.1259,11.6204,3
esc50,low,CSSM,0.5157,0.0395,1.4603,32.4712,0.0026,11.6104,3
esc50,low,MUSIC,0.0293,0.0101,0.0395,6.2907,0.0026,0.6861,3
esc50,low,SRP,0.4731,0.0101,1.3698,27.6302,0.0026,1.2564,3
esc50,low,TOPS,0.2066,0.1497,0.3069,10.8141,0.0026,5.7393,3
esc50,low,WAVES,0.2454,0.0395,0.6492,14.844,0.0026,11.5867,3
esc50,medium,CSSM,0.3252,0.0415,0.75,40.7671,0.018,11.6505,3
esc50,medium,MUSIC,0.0352,0.0187,0.0574,1.7574,0.018,0.6898,3
esc50,medium,SRP,0.4731,0.0101,1.3698,27.6302,0.018,1.2181,3
esc50,medium,TOPS,0.2311,0.1015,0.3127,20.3762,0.018,5.6094,3
esc50,medium,WAVES,1.3462,0.0988,3.0775,37.5761,0.018,11.6535,3
heart_proxy,high,CSSM,1.1305,0.6419,1.8968,97.5826,0.1259,7.5739,3
heart_proxy,high,MUSIC,1.7103,1.428,2.2151,105.0799,0.1259,0.3337,3
heart_proxy,high,SRP,1.2882,0.8272,1.7732,95.0752,0.1259,0.8232,3
heart_proxy,high,TOPS,1.2164,0.6313,1.7161,74.7905,0.1259,3.4728,3
heart_proxy,high,WAVES,1.7052,1.604,1.8465,141.0254,0.1259,7.6414,3
heart_proxy,low,CSSM,0.0293,0.0101,0.0395,6.2907,0.0026,7.5536,3
heart_proxy,low,MUSIC,0.0293,0.0101,0.0395,6.2907,0.0026,0.3565,3
heart_proxy,low,SRP,0.0293,0.0101,0.0395,6.2907,0.0026,0.8474,3
heart_proxy,low,TOPS,1.843,1.0877,2.3972,108.0143,0.0026,3.4248,3
heart_proxy,low,WAVES,0.0293,0.0101,0.0395,6.2907,0.0026,7.6546,3
heart_proxy,medium,CSSM,0.0857,0.0274,0.1868,8.0131,0.018,7.6239,3
heart_proxy,medium,MUSIC,0.289,0.0492,0.4277,15.2653,0.018,0.3313,3
heart_proxy,medium,SRP,0.0871,0.0155,0.1291,19.131,0.018,0.8446,3
heart_proxy,medium,TOPS,2.6707,1.3072,4.2421,110.2335,0.018,3.4742,3
heart_proxy,medium,WAVES,0.1174,0.0726,0.1923,21.4523,0.018,7.7638,3
librispeech,high,CSSM,1.938,1.3703,2.5789,161.3819,0.1259,25.5943,3
librispeech,high,MUSIC,0.6148,0.5357,0.7361,30.9672,0.1259,0.8753,3
librispeech,high,SRP,1.4911,1.1827,2.0242,78.5218,0.1259,1.2671,3
librispeech,high,TOPS,1.9558,1.2495,2.6455,126.3587,0.1259,11.8377,3
librispeech,high,WAVES,1.4349,1.0561,1.9976,124.655,0.1259,25.7553,3
librispeech,low,CSSM,0.0316,0.0101,0.0429,5.0511,0.0026,26.1829,3
librispeech,low,MUSIC,0.0376,0.0305,0.0429,6.3033,0.0026,0.8613,3
librispeech,low,SRP,0.0926,0.0749,0.1072,6.2614,0.0026,1.2578,3
librispeech,low,TOPS,0.1791,0.0952,0.2301,22.6956,0.0026,13.0183,3
librispeech,low,WAVES,0.0316,0.0101,0.0429,5.0511,0.0026,25.8069,3
librispeech,medium,CSSM,0.1462,0.1194,0.163,17.5019,0.018,26.8261,3
librispeech,medium,MUSIC,0.0632,0.0414,0.0852,7.706,0.018,0.8883,3
librispeech,medium,SRP,0.0942,0.0749,0.1072,8.7702,0.018,1.2887,3
librispeech,medium,TOPS,0.1209,0.0706,0.1709,5.575,0.018,12.3134,3
librispeech,medium,WAVES,0.2454,0.2064,0.2938,19.7076,0.018,26.0026,3
